dates    amo    ???
1873.33   -0.03800   0.00 
1873.42   -0.02800   0.00 
1873.50    0.09600   0.00 
1873.58    0.05600   0.00 
1873.67    0.15700   0.00 
1873.75    0.09300   0.00 
1873.83    0.07200   0.00 
1873.92    0.15100   0.00 
1874.00    0.06200   0.00 
1874.08   -0.10200   0.00 
1874.17   -0.10800   0.00 
1874.25   -0.07900   0.00 
1874.33    0.02600   0.00 
1874.42    0.17400   0.00 
1874.50    0.11100   0.00 
1874.58   -0.00200   0.00 
1874.67    0.19100   0.00 
1874.75   -0.02900   0.00 
1874.83   -0.04700   0.00 
1874.92   -0.27900   0.00 
1875.00   -0.15500   0.00 
1875.08    0.07700   0.00 
1875.17    0.04700   0.00 
1875.25    0.02900   0.00 
1875.33    0.17500   0.00 
1875.42    0.18100   0.00 
1875.50    0.01400   0.00 
1875.58    0.10100   0.00 
1875.67    0.14900   0.00 
1875.75    0.08200   0.00 
1875.83   -0.04800   0.00 
1875.92   -0.06600   0.00 
1876.00   -0.19500   0.00 
1876.08   -0.06500   0.00 
1876.17   -0.08000   0.00 
1876.25   -0.06000   0.00 
1876.33   -0.06100   0.00 
1876.42    0.00600   0.00 
1876.50    0.12600   0.00 
1876.58    0.18500   0.00 
1876.67    0.15900   0.00 
1876.75   -0.04400   0.00 
1876.83   -0.07100   0.00 
1876.92   -0.00600   0.00 
1877.00    0.01800   0.00 
1877.08    0.16800   0.00 
1877.17    0.25200   0.00 
1877.25    0.15700   0.00 
1877.33    0.26700   0.00 
1877.42    0.33600   0.00 
1877.50    0.31200   0.00 
1877.58    0.37600   0.00 
1877.67    0.27500   0.00 
1877.75    0.24500   0.00 
1877.83    0.31300   0.00 
1877.92    0.33200   0.00 
1878.00    0.25400   0.00 
1878.08    0.34700   0.00 
1878.17    0.35700   0.00 
1878.25    0.65600   0.00 
1878.33    0.53700   0.00 
1878.42    0.63900   0.00 
1878.50    0.43300   0.00 
1878.58    0.59900   0.00 
1878.67    0.56000   0.00 
1878.75    0.33100   0.00 
1878.83    0.38500   0.00 
1878.92    0.48300   0.00 
1879.00    0.33500   0.00 
1879.08    0.39100   0.00 
1879.17    0.03200   0.00 
1879.25    0.04900   0.00 
1879.33    0.25700   0.00 
1879.42    0.18800   0.00 
1879.50    0.09600   0.00 
1879.58    0.02800   0.00 
1879.67   -0.01100   0.00 
1879.75    0.07300   0.00 
1879.83    0.08000   0.00 
1879.92    0.13000   0.00 
1880.00    0.08800   0.00 
1880.08    0.01600   0.00 
1880.17    0.10100   0.00 
1880.25   -0.02600   0.00 
1880.33   -0.12800   0.00 
1880.42   -0.00000   0.00 
1880.50    0.13000   0.00 
1880.58    0.11400   0.00 
1880.67    0.26600   0.00 
1880.75    0.24200   0.00 
1880.83    0.15900   0.00 
1880.92   -0.07300   0.00 
1881.00    0.18100   0.00 
1881.08    0.13500   0.00 
1881.17    0.20200   0.00 
1881.25    0.23300   0.00 
1881.33    0.12600   0.00 
1881.42    0.13200   0.00 
1881.50    0.02000   0.00 
1881.58    0.05700   0.00 
1881.67   -0.01100   0.00 
1881.75   -0.05700   0.00 
1881.83   -0.29300   0.00 
1881.92   -0.08300   0.00 
1882.00   -0.11900   0.00 
1882.08   -0.08600   0.00 
1882.17   -0.02100   0.00 
1882.25   -0.11600   0.00 
1882.33   -0.11800   0.00 
1882.42    0.01200   0.00 
1882.50    0.07300   0.00 
1882.58    0.08200   0.00 
1882.67    0.05400   0.00 
1882.75   -0.00200   0.00 
1882.83    0.02700   0.00 
1882.92    0.03000   0.00 
1883.00   -0.03400   0.00 
1883.08   -0.15100   0.00 
1883.17   -0.13900   0.00 
1883.25    0.04100   0.00 
1883.33    0.04700   0.00 
1883.42   -0.01600   0.00 
1883.50   -0.03000   0.00 
1883.58    0.03200   0.00 
1883.67   -0.07700   0.00 
1883.75   -0.09900   0.00 
1883.83    0.00800   0.00 
1883.92    0.14900   0.00 
1884.00    0.04700   0.00 
1884.08   -0.12800   0.00 
1884.17   -0.09500   0.00 
1884.25   -0.04700   0.00 
1884.33   -0.03300   0.00 
1884.42    0.15200   0.00 
1884.50   -0.01500   0.00 
1884.58    0.00700   0.00 
1884.67   -0.13500   0.00 
1884.75   -0.12800   0.00 
1884.83   -0.32400   0.00 
1884.92   -0.09700   0.00 
1885.00   -0.04900   0.00 
1885.08    0.06200   0.00 
1885.17   -0.01700   0.00 
1885.25   -0.23200   0.00 
1885.33   -0.14800   0.00 
1885.42   -0.11300   0.00 
