y m d lod sig
1962  5 15  1.7110  1.4000 
1962  5 16  1.7440  1.4000 
1962  5 17  1.7350  1.4000 
1962  5 18  1.6930  1.4000 
1962  5 19  1.6120  1.4000 
1962  5 20  1.5270  1.4000 
1962  5 21  1.4400  1.4000 
1962  5 22  1.3740  1.4000 
1962  5 23  1.3520  1.4000 
1962  5 24  1.3910  1.4000 
1962  5 25  1.4660  1.4000 
1962  5 26  1.5780  1.4000 
1962  5 27  1.6970  1.4000 
1962  5 28  1.7850  1.4000 
1962  5 29  1.7960  1.4000 
1962  5 30  1.7100  1.4000 
1962  5 31  1.5370  1.4000 
1962  6  1  1.3130  1.4000 
1962  6  2  1.0800  1.4000 
1962  6  3  0.8690  1.4000 
1962  6  4  0.7010  1.4000 
1962  6  5  0.6030  1.4000 
1962  6  6  0.5790  1.4000 
1962  6  7  0.5950  1.4000 
1962  6  8  0.6380  1.4000 
1962  6  9  0.7090  1.4000 
1962  6 10  0.7860  1.4000 
1962  6 11  0.8240  1.4000 
1962  6 12  0.8450  1.4000 
1962  6 13  0.8260  1.4000 
1962  6 14  0.7870  1.4000 
1962  6 15  0.7200  1.4000 
1962  6 16  0.6340  1.4000 
1962  6 17  0.5350  1.4000 
1962  6 18  0.4580  1.4000 
1962  6 19  0.4270  1.4000 
1962  6 20  0.4600  1.4000 
1962  6 21  0.5550  1.4000 
1962  6 22  0.7010  1.4000 
1962  6 23  0.8510  1.4000 
1962  6 24  0.9710  1.4000 
1962  6 25  1.0290  1.4000 
1962  6 26  1.0110  1.4000 
1962  6 27  0.9250  1.4000 
1962  6 28  0.7720  1.4000 
1962  6 29  0.6120  1.4000 
1962  6 30  0.4530  1.4000 
1962  7  1  0.3450  1.4000 
1962  7  2  0.2820  1.4000 
1962  7  3  0.2860  1.4000 
1962  7  4  0.3340  1.4000 
1962  7  5  0.4210  1.4000 
1962  7  6  0.5110  1.4000 
1962  7  7  0.6000  1.4000 
1962  7  8  0.6730  1.4000 
1962  7  9  0.7220  1.4000 
1962  7 10  0.7390  1.4000 
1962  7 11  0.7280  1.4000 
1962  7 12  0.6910  1.4000 
1962  7 13  0.6370  1.4000 
1962  7 14  0.5850  1.4000 
1962  7 15  0.5340  1.4000 
1962  7 16  0.5200  1.4000 
1962  7 17  0.5750  1.4000 
1962  7 18  0.6900  1.4000 
1962  7 19  0.8700  1.4000 
1962  7 20  1.0680  1.4000 
1962  7 21  1.2270  1.4000 
1962  7 22  1.3160  1.4000 
1962  7 23  1.3170  1.4000 
1962  7 24  1.2260  1.4000 
1962  7 25  1.0870  1.4000 
1962  7 26  0.9120  1.4000 
1962  7 27  0.7560  1.4000 
1962  7 28  0.6280  1.4000 
1962  7 29  0.5540  1.4000 
1962  7 30  0.5370  1.4000 
1962  7 31  0.5670  1.4000 
1962  8  1  0.6200  1.4000 
1962  8  2  0.6880  1.4000 
1962  8  3  0.7580  1.4000 
1962  8  4  0.8160  1.4000 
1962  8  5  0.8500  1.4000 
1962  8  6  0.8440  1.4000 
1962  8  7  0.8160  1.4000 
1962  8  8  0.7530  1.4000 
1962  8  9  0.6720  1.4000 
1962  8 10  0.5950  1.4000 
1962  8 11  0.5250  1.4000 
1962  8 12  0.4810  1.4000 
1962  8 13  0.4970  1.4000 
1962  8 14  0.5820  1.4000 
1962  8 15  0.7370  1.4000 
1962  8 16  0.9260  1.4000 
1962  8 17  1.1160  1.4000 
1962  8 18  1.2330  1.4000 
1962  8 19  1.2600  1.4000 
1962  8 20  1.1800  1.4000 
1962  8 21  1.0290  1.4000 
1962  8 22  0.8410  1.4000 
1962  8 23  0.6700  1.4000 
1962  8 24  0.5490  1.4000 
1962  8 25  0.4750  1.4000 
1962  8 26  0.4630  1.4000 
1962  8 27  0.5130  1.4000 
1962  8 28  0.6000  1.4000 
1962  8 29  0.7080  1.4000 
1962  8 30  0.8200  1.4000 
1962  8 31  0.9310  1.4000 
1962  9  1  1.0110  1.4000 
1962  9  2  1.0810  1.4000 
1962  9  3  1.1180  1.4000 
1962  9  4  1.1150  1.4000 
1962  9  5  1.0910  1.4000 
1962  9  6  1.0590  1.4000 
1962  9  7  1.0340  1.4000 
1962  9  8  1.0310  1.4000 
1962  9  9  1.0580  1.4000 
1962  9 10  1.1370  1.4000 
1962  9 11  1.2880  1.4000 
1962  9 12  1.4940  1.4000 
1962  9 13  1.7150  1.4000 
1962  9 14  1.9040  1.4000 
1962  9 15  2.0030  1.4000 
1962  9 16  1.9710  1.4000 
1962  9 17  1.8150  1.4000 
1962  9 18  1.5880  1.4000 
1962  9 19  1.3560  1.4000 
1962  9 20  1.1570  1.4000 
1962  9 21  1.0200  1.4000 
1962  9 22  0.9410  1.4000 
1962  9 23  0.9240  1.4000 
1962  9 24  0.9620  1.4000 
1962  9 25  1.0260  1.4000 
1962  9 26  1.0990  1.4000 
1962  9 27  1.1660  1.4000 
1962  9 28  1.2220  1.4000 
1962  9 29  1.2500  1.4000 
1962  9 30  1.2440  1.4000 
1962 10  1  1.2050  1.4000 
1962 10  2  1.1480  1.4000 
1962 10  3  1.0770  1.4000 
1962 10  4  1.0080  1.4000 
1962 10  5  0.9700  1.4000 
1962 10  6  0.9690  1.4000 
1962 10  7  1.0300  1.4000 
1962 10  8  1.1590  1.4000 
1962 10  9  1.3550  1.4000 
1962 10 10  1.6020  1.4000 
1962 10 11  1.8640  1.4000 
1962 10 12  2.0720  1.4000 
1962 10 13  2.1750  1.4000 
1962 10 14  2.1500  1.4000 
1962 10 15  2.0100  1.4000 
1962 10 16  1.8250  1.4000 
1962 10 17  1.6460  1.4000 
1962 10 18  1.5290  1.4000 
1962 10 19  1.4640  1.4000 
1962 10 20  1.4710  1.4000 
1962 10 21  1.5220  1.4000 
1962 10 22  1.6180  1.4000 
1962 10 23  1.7190  1.4000 
1962 10 24  1.8080  1.4000 
1962 10 25  1.8810  1.4000 
1962 10 26  1.9180  1.4000 
1962 10 27  1.9110  1.4000 
1962 10 28  1.8710  1.4000 
1962 10 29  1.7990  1.4000 
1962 10 30  1.7050  1.4000 
1962 10 31  1.5950  1.4000 
1962 11  1  1.4790  1.4000 
1962 11  2  1.4060  1.4000 
1962 11  3  1.3930  1.4000 
1962 11  4  1.4410  1.4000 
1962 11  5  1.5520  1.4000 
1962 11  6  1.7170  1.4000 
1962 11  7  1.9090  1.4000 
1962 11  8  2.0920  1.4000 
1962 11  9  2.2050  1.4000 
1962 11 10  2.2200  1.4000 
1962 11 11  2.1200  1.4000 
1962 11 12  1.9440  1.4000 
1962 11 13  1.7270  1.4000 
1962 11 14  1.5360  1.4000 
1962 11 15  1.4090  1.4000 
1962 11 16  1.3560  1.4000 
1962 11 17  1.3570  1.4000 
1962 11 18  1.4110  1.4000 
1962 11 19  1.4870  1.4000 
1962 11 20  1.5660  1.4000 
1962 11 21  1.6230  1.4000 
1962 11 22  1.6670  1.4000 
1962 11 23  1.6800  1.4000 
1962 11 24  1.6690  1.4000 
1962 11 25  1.6270  1.4000 
1962 11 26  1.5700  1.4000 
1962 11 27  1.5000  1.4000 
1962 11 28  1.4230  1.4000 
1962 11 29  1.3830  1.4000 
1962 11 30  1.3780  1.4000 
1962 12  1  1.4330  1.4000 
1962 12  2  1.5600  1.4000 
1962 12  3  1.7270  1.4000 
1962 12  4  1.9210  1.4000 
1962 12  5  2.1090  1.4000 
1962 12  6  2.2530  1.4000 
1962 12  7  2.3170  1.4000 
1962 12  8  2.2720  1.4000 
1962 12  9  2.1390  1.4000 
1962 12 10  1.9430  1.4000 
1962 12 11  1.7550  1.4000 
1962 12 12  1.6010  1.4000 
1962 12 13  1.5150  1.4000 
1962 12 14  1.4880  1.4000 
1962 12 15  1.5110  1.4000 
1962 12 16  1.5430  1.4000 
1962 12 17  1.5930  1.4000 
1962 12 18  1.6340  1.4000 
1962 12 19  1.6530  1.4000 
1962 12 20  1.6430  1.4000 
1962 12 21  1.6000  1.4000 
1962 12 22  1.5160  1.4000 
1962 12 23  1.4170  1.4000 
1962 12 24  1.3040  1.4000 
1962 12 25  1.1880  1.4000 
1962 12 26  1.0790  1.4000 
1962 12 27  1.0190  1.4000 
1962 12 28  1.0160  1.4000 
1962 12 29  1.0780  1.4000 
1962 12 30  1.1960  1.4000 
1962 12 31  1.3410  1.4000 
1963  1  1  1.4780  1.4000 
1963  1  2  1.5820  1.4000 
1963  1  3  1.6140  1.4000 
1963  1  4  1.5720  1.4000 
1963  1  5  1.4530  1.4000 
1963  1  6  1.2800  1.4000 
1963  1  7  1.0940  1.4000 
1963  1  8  0.9360  1.4000 
1963  1  9  0.8370  1.4000 
1963  1 10  0.8050  1.4000 
1963  1 11  0.8410  1.4000 
1963  1 12  0.9020  1.4000 
1963  1 13  0.9660  1.4000 
1963  1 14  1.0340  1.4000 
1963  1 15  1.0710  1.4000 
1963  1 16  1.0780  1.4000 
1963  1 17  1.0520  1.4000 
1963  1 18  0.9920  1.4000 
1963  1 19  0.9070  1.4000 
1963  1 20  0.8070  1.4000 
1963  1 21  0.7050  1.4000 
1963  1 22  0.6230  1.4000 
1963  1 23  0.5720  1.4000 
1963  1 24  0.5730  1.4000 
1963  1 25  0.6520  1.4000 
1963  1 26  0.7960  1.4000 
1963  1 27  0.9830  1.4000 
1963  1 28  1.1800  1.4000 
1963  1 29  1.3300  1.4000 
1963  1 30  1.4090  1.4000 
1963  1 31  1.4030  1.4000 
1963  2  1  1.3060  1.4000 
1963  2  2  1.1660  1.4000 
1963  2  3  1.0040  1.4000 
1963  2  4  0.8860  1.4000 
1963  2  5  0.8230  1.4000 
1963  2  6  0.8060  1.4000 
1963  2  7  0.8610  1.4000 
1963  2  8  0.9500  1.4000 
1963  2  9  1.0690  1.4000 
1963  2 10  1.1760  1.4000 
1963  2 11  1.2640  1.4000 
1963  2 12  1.3130  1.4000 
1963  2 13  1.3260  1.4000 
1963  2 14  1.3030  1.4000 
1963  2 15  1.2390  1.4000 
1963  2 16  1.1670  1.4000 
1963  2 17  1.0810  1.4000 
1963  2 18  1.0040  1.4000 
1963  2 19  0.9540  1.4000 
1963  2 20  0.9370  1.4000 
1963  2 21  1.0030  1.4000 
1963  2 22  1.1430  1.4000 
1963  2 23  1.3460  1.4000 
1963  2 24  1.5840  1.4000 
1963  2 25  1.7940  1.4000 
1963  2 26  1.9120  1.4000 
1963  2 27  1.9360  1.4000 
1963  2 28  1.8430  1.4000 
1963  3  1  1.6870  1.4000 
1963  3  2  1.4970  1.4000 
1963  3  3  1.3410  1.4000 
1963  3  4  1.2310  1.4000 
1963  3  5  1.1910  1.4000 
1963  3  6  1.2080  1.4000 
1963  3  7  1.2870  1.4000 
1963  3  8  1.3850  1.4000 
1963  3  9  1.4980  1.4000 
1963  3 10  1.5870  1.4000 
1963  3 11  1.6480  1.4000 
1963  3 12  1.6730  1.4000 
1963  3 13  1.6600  1.4000 
1963  3 14  1.6120  1.4000 
1963  3 15  1.5380  1.4000 
1963  3 16  1.4450  1.4000 
1963  3 17  1.3580  1.4000 
1963  3 18  1.3040  1.4000 
1963  3 19  1.2880  1.4000 
1963  3 20  1.3280  1.4000 
1963  3 21  1.4370  1.4000 
1963  3 22  1.6290  1.4000 
1963  3 23  1.8650  1.4000 
1963  3 24  2.1190  1.4000 
1963  3 25  2.3170  1.4000 
1963  3 26  2.4170  1.4000 
1963  3 27  2.3770  1.4000 
1963  3 28  2.2280  1.4000 
1963  3 29  2.0210  1.4000 
1963  3 30  1.8190  1.4000 
1963  3 31  1.6790  1.4000 
1963  4  1  1.6060  1.4000 
1963  4  2  1.5980  1.4000 
1963  4  3  1.6500  1.4000 
1963  4  4  1.7380  1.4000 
1963  4  5  1.8290  1.4000 
1963  4  6  1.9130  1.4000 
1963  4  7  1.9630  1.4000 
1963  4  8  1.9900  1.4000 
1963  4  9  1.9680  1.4000 
1963  4 10  1.8890  1.4000 
1963  4 11  1.7900  1.4000 
1963  4 12  1.6720  1.4000 
1963  4 13  1.5640  1.4000 
1963  4 14  1.4740  1.4000 
1963  4 15  1.4200  1.4000 
1963  4 16  1.4250  1.4000 
1963  4 17  1.4810  1.4000 
1963  4 18  1.6160  1.4000 
1963  4 19  1.8150  1.4000 
1963  4 20  2.0620  1.4000 
1963  4 21  2.2840  1.4000 
1963  4 22  2.4310  1.4000 
1963  4 23  2.4680  1.4000 
1963  4 24  2.3630  1.4000 
1963  4 25  2.1610  1.4000 
1963  4 26  1.9260  1.4000 
1963  4 27  1.7310  1.4000 
1963  4 28  1.5980  1.4000 
1963  4 29  1.5590  1.4000 
1963  4 30  1.5900  1.4000 
1963  5  1  1.6770  1.4000 
1963  5  2  1.7630  1.4000 
1963  5  3  1.8470  1.4000 
1963  5  4  1.9110  1.4000 
1963  5  5  1.9440  1.4000 
1963  5  6  1.9420  1.4000 
1963  5  7  1.8920  1.4000 
1963  5  8  1.8090  1.4000 
1963  5  9  1.6930  1.4000 
1963  5 10  1.5700  1.4000 
1963  5 11  1.4580  1.4000 
1963  5 12  1.3760  1.4000 
1963  5 13  1.3410  1.4000 
1963  5 14  1.3620  1.4000 
1963  5 15  1.4260  1.4000 
1963  5 16  1.5590  1.4000 
1963  5 17  1.7450  1.4000 
1963  5 18  1.9340  1.4000 
1963  5 19  2.0850  1.4000 
1963  5 20  2.1380  1.4000 
1963  5 21  2.0820  1.4000 
1963  5 22  1.9220  1.4000 
1963  5 23  1.6920  1.4000 
1963  5 24  1.4550  1.4000 
1963  5 25  1.2710  1.4000 
1963  5 26  1.1790  1.4000 
1963  5 27  1.1780  1.4000 
1963  5 28  1.2250  1.4000 
1963  5 29  1.3100  1.4000 
1963  5 30  1.4050  1.4000 
1963  5 31  1.4720  1.4000 
1963  6  1  1.5210  1.4000 
1963  6  2  1.5240  1.4000 
1963  6  3  1.5000  1.4000 
1963  6  4  1.4430  1.4000 
1963  6  5  1.3720  1.4000 
1963  6  6  1.2690  1.4000 
1963  6  7  1.1700  1.4000 
1963  6  8  1.0860  1.4000 
1963  6  9  1.0440  1.4000 
1963  6 10  1.0570  1.4000 
1963  6 11  1.1320  1.4000 
1963  6 12  1.2530  1.4000 
1963  6 13  1.4230  1.4000 
1963  6 14  1.5960  1.4000 
1963  6 15  1.7490  1.4000 
1963  6 16  1.8410  1.4000 
1963  6 17  1.8310  1.4000 
1963  6 18  1.7170  1.4000 
1963  6 19  1.5220  1.4000 
1963  6 20  1.2810  1.4000 
1963  6 21  1.0750  1.4000 
1963  6 22  0.9470  1.4000 
1963  6 23  0.8930  1.4000 
1963  6 24  0.9190  1.4000 
1963  6 25  0.9840  1.4000 
1963  6 26  1.0570  1.4000 
1963  6 27  1.1240  1.4000 
1963  6 28  1.1500  1.4000 
1963  6 29  1.1600  1.4000 
1963  6 30  1.1210  1.4000 
1963  7  1  1.0490  1.4000 
1963  7  2  0.9400  1.4000 
1963  7  3  0.8290  1.4000 
1963  7  4  0.7090  1.4000 
1963  7  5  0.6070  1.4000 
1963  7  6  0.5310  1.4000 
1963  7  7  0.5190  1.4000 
1963  7  8  0.5590  1.4000 
1963  7  9  0.6610  1.4000 
1963  7 10  0.7950  1.4000 
1963  7 11  0.9600  1.4000 
1963  7 12  1.1020  1.4000 
1963  7 13  1.1970  1.4000 
1963  7 14  1.2110  1.4000 
1963  7 15  1.1480  1.4000 
1963  7 16  0.9990  1.4000 
1963  7 17  0.8200  1.4000 
1963  7 18  0.6560  1.4000 
1963  7 19  0.5440  1.4000 
1963  7 20  0.5080  1.4000 
1963  7 21  0.5490  1.4000 
1963  7 22  0.6430  1.4000 
1963  7 23  0.7660  1.4000 
1963  7 24  0.8670  1.4000 
1963  7 25  0.9380  1.4000 
1963  7 26  0.9790  1.4000 
1963  7 27  0.9690  1.4000 
1963  7 28  0.9310  1.4000 
1963  7 29  0.8550  1.4000 
1963  7 30  0.7730  1.4000 
1963  7 31  0.6900  1.4000 
1963  8  1  0.6340  1.4000 
1963  8  2  0.5980  1.4000 
1963  8  3  0.6300  1.4000 
1963  8  4  0.7230  1.4000 
1963  8  5  0.8740  1.4000 
1963  8  6  1.0700  1.4000 
1963  8  7  1.2990  1.4000 
1963  8  8  1.5090  1.4000 
1963  8  9  1.6460  1.4000 
1963  8 10  1.6920  1.4000 
1963  8 11  1.6350  1.4000 
1963  8 12  1.5020  1.4000 
1963  8 13  1.3200  1.4000 
1963  8 14  1.1410  1.4000 
1963  8 15  1.0070  1.4000 
1963  8 16  0.9430  1.4000 
1963  8 17  0.9570  1.4000 
1963  8 18  1.0320  1.4000 
1963  8 19  1.1390  1.4000 
1963  8 20  1.2450  1.4000 
1963  8 21  1.3250  1.4000 
1963  8 22  1.3630  1.4000 
1963  8 23  1.3470  1.4000 
1963  8 24  1.2880  1.4000 
1963  8 25  1.2040  1.4000 
1963  8 26  1.1100  1.4000 
1963  8 27  1.0120  1.4000 
1963  8 28  0.9270  1.4000 
1963  8 29  0.8820  1.4000 
1963  8 30  0.8790  1.4000 
1963  8 31  0.9320  1.4000 
1963  9  1  1.0520  1.4000 
1963  9  2  1.2390  1.4000 
1963  9  3  1.4810  1.4000 
1963  9  4  1.7260  1.4000 
1963  9  5  1.9200  1.4000 
1963  9  6  2.0160  1.4000 
1963  9  7  2.0060  1.4000 
1963  9  8  1.8980  1.4000 
1963  9  9  1.7150  1.4000 
1963  9 10  1.5400  1.4000 
1963  9 11  1.3990  1.4000 
1963  9 12  1.3210  1.4000 
1963  9 13  1.3230  1.4000 
1963  9 14  1.4020  1.4000 
1963  9 15  1.5140  1.4000 
1963  9 16  1.6370  1.4000 
1963  9 17  1.7420  1.4000 
1963  9 18  1.7990  1.4000 
1963  9 19  1.8200  1.4000 
1963  9 20  1.7950  1.4000 
1963  9 21  1.7300  1.4000 
1963  9 22  1.6460  1.4000 
1963  9 23  1.5420  1.4000 
1963  9 24  1.4450  1.4000 
1963  9 25  1.3750  1.4000 
1963  9 26  1.3360  1.4000 
1963  9 27  1.3480  1.4000 
1963  9 28  1.4120  1.4000 
1963  9 29  1.5640  1.4000 
1963  9 30  1.7660  1.4000 
1963 10  1  2.0100  1.4000 
1963 10  2  2.2360  1.4000 
1963 10  3  2.3930  1.4000 
1963 10  4  2.4180  1.4000 
1963 10  5  2.3270  1.4000 
1963 10  6  2.1430  1.4000 
1963 10  7  1.9290  1.4000 
1963 10  8  1.7570  1.4000 
1963 10  9  1.6500  1.4000 
1963 10 10  1.6410  1.4000 
1963 10 11  1.7000  1.4000 
1963 10 12  1.7990  1.4000 
1963 10 13  1.9270  1.4000 
1963 10 14  2.0470  1.4000 
1963 10 15  2.1470  1.4000 
1963 10 16  2.2040  1.4000 
1963 10 17  2.2150  1.4000 
1963 10 18  2.1820  1.4000 
1963 10 19  2.1150  1.4000 
1963 10 20  2.0290  1.4000 
1963 10 21  1.9420  1.4000 
1963 10 22  1.8860  1.4000 
1963 10 23  1.8660  1.4000 
1963 10 24  1.8870  1.4000 
1963 10 25  1.9640  1.4000 
1963 10 26  2.0950  1.4000 
1963 10 27  2.2970  1.4000 
1963 10 28  2.5470  1.4000 
1963 10 29  2.7920  1.4000 
1963 10 30  2.9960  1.4000 
1963 10 31  3.0950  1.4000 
1963 11  1  3.0640  1.4000 
1963 11  2  2.9000  1.4000 
1963 11  3  2.6520  1.4000 
1963 11  4  2.4010  1.4000 
1963 11  5  2.2000  1.4000 
1963 11  6  2.0810  1.4000 
1963 11  7  2.0420  1.4000 
1963 11  8  2.0760  1.4000 
1963 11  9  2.1380  1.4000 
1963 11 10  2.1960  1.4000 
1963 11 11  2.2190  1.4000 
1963 11 12  2.2040  1.4000 
1963 11 13  2.1540  1.4000 
1963 11 14  2.0820  1.4000 
1963 11 15  1.9650  1.4000 
1963 11 16  1.8430  1.4000 
1963 11 17  1.7130  1.4000 
1963 11 18  1.5950  1.4000 
1963 11 19  1.5180  1.4000 
1963 11 20  1.4770  1.4000 
1963 11 21  1.5110  1.4000 
1963 11 22  1.6050  1.4000 
1963 11 23  1.7460  1.4000 
1963 11 24  1.9340  1.4000 
1963 11 25  2.1490  1.4000 
1963 11 26  2.3550  1.4000 
1963 11 27  2.4930  1.4000 
1963 11 28  2.5390  1.4000 
1963 11 29  2.4530  1.4000 
1963 11 30  2.2650  1.4000 
1963 12  1  2.0430  1.4000 
1963 12  2  1.8370  1.4000 
1963 12  3  1.7110  1.4000 
1963 12  4  1.6810  1.4000 
1963 12  5  1.7400  1.4000 
1963 12  6  1.8200  1.4000 
1963 12  7  1.9120  1.4000 
1963 12  8  1.9890  1.4000 
1963 12  9  2.0170  1.4000 
1963 12 10  2.0110  1.4000 
1963 12 11  1.9630  1.4000 
1963 12 12  1.8800  1.4000 
1963 12 13  1.7720  1.4000 
1963 12 14  1.6530  1.4000 
1963 12 15  1.5400  1.4000 
1963 12 16  1.4510  1.4000 
1963 12 17  1.4130  1.4000 
1963 12 18  1.4190  1.4000 
1963 12 19  1.4940  1.4000 
1963 12 20  1.6250  1.4000 
1963 12 21  1.8000  1.4000 
1963 12 22  1.9980  1.4000 
1963 12 23  2.1940  1.4000 
1963 12 24  2.3430  1.4000 
1963 12 25  2.4280  1.4000 
1963 12 26  2.4060  1.4000 
1963 12 27  2.2860  1.4000 
1963 12 28  2.1100  1.4000 
1963 12 29  1.9280  1.4000 
1963 12 30  1.8090  1.4000 
1963 12 31  1.7810  1.4000 
1964  1  1  1.8440  1.4000 
1964  1  2  1.9660  1.4000 
1964  1  3  2.1030  1.4000 
1964  1  4  2.2270  1.4000 
1964  1  5  2.3170  1.4000 
1964  1  6  2.3580  1.4000 
1964  1  7  2.3420  1.4000 
1964  1  8  2.2880  1.4000 
1964  1  9  2.1970  1.4000 
1964  1 10  2.0950  1.4000 
1964  1 11  1.9980  1.4000 
1964  1 12  1.9210  1.4000 
1964  1 13  1.8610  1.4000 
1964  1 14  1.8620  1.4000 
1964  1 15  1.9030  1.4000 
1964  1 16  2.0140  1.4000 
1964  1 17  2.1630  1.4000 
1964  1 18  2.3350  1.4000 
1964  1 19  2.4910  1.4000 
1964  1 20  2.5980  1.4000 
1964  1 21  2.6380  1.4000 
1964  1 22  2.6040  1.4000 
1964  1 23  2.4960  1.4000 
1964  1 24  2.3270  1.4000 
1964  1 25  2.1470  1.4000 
1964  1 26  2.0000  1.4000 
1964  1 27  1.9190  1.4000 
1964  1 28  1.9400  1.4000 
1964  1 29  2.0270  1.4000 
1964  1 30  2.1390  1.4000 
1964  1 31  2.2510  1.4000 
1964  2  1  2.3210  1.4000 
1964  2  2  2.3330  1.4000 
1964  2  3  2.2780  1.4000 
1964  2  4  2.1870  1.4000 
1964  2  5  2.0540  1.4000 
1964  2  6  1.9140  1.4000 
1964  2  7  1.7770  1.4000 
1964  2  8  1.6590  1.4000 
1964  2  9  1.5870  1.4000 
1964  2 10  1.5630  1.4000 
1964  2 11  1.5980  1.4000 
1964  2 12  1.6970  1.4000 
1964  2 13  1.8430  1.4000 
1964  2 14  2.0360  1.4000 
1964  2 15  2.2190  1.4000 
