dates    nao    ???
1968.25   -1.08000   0.00
1968.33   -1.76000   0.00
1968.42    0.33000   0.00
1968.50   -0.80000   0.00
1968.58   -0.66000   0.00
1968.67   -1.92000   0.00
1968.75   -2.30000   0.00
1968.83   -0.93000   0.00
1968.92   -1.40000   0.00
1969.00   -0.83000   0.00
1969.08   -1.55000   0.00
1969.17   -1.56000   0.00
1969.25    1.53000   0.00
1969.33    0.55000   0.00
1969.42    0.55000   0.00
1969.50    0.57000   0.00
1969.58   -1.45000   0.00
1969.67    2.07000   0.00
1969.75    0.66000   0.00
1969.83   -0.96000   0.00
1969.92   -0.28000   0.00
1970.00   -1.50000   0.00
1970.08    0.64000   0.00
1970.17   -0.96000   0.00
1970.25   -1.30000   0.00
1970.33    1.14000   0.00
1970.42    1.55000   0.00
1970.50    0.10000   0.00
1970.58    0.10000   0.00
1970.67   -0.09000   0.00
1970.75   -0.92000   0.00
1970.83   -0.60000   0.00
1970.92   -1.20000   0.00
1971.00   -1.13000   0.00
1971.08    0.24000   0.00
1971.17   -0.84000   0.00
1971.25   -0.24000   0.00
1971.33    0.50000   0.00
1971.42   -1.57000   0.00
1971.50    0.24000   0.00
1971.58    1.55000   0.00
1971.67    0.39000   0.00
1971.75    0.58000   0.00
1971.83   -0.20000   0.00
1971.92    0.60000   0.00
1972.00    0.27000   0.00
1972.08    0.32000   0.00
1972.17    0.72000   0.00
1972.25   -0.22000   0.00
1972.33    0.95000   0.00
1972.42    0.88000   0.00
1972.50    0.18000   0.00
1972.58    1.32000   0.00
1972.67   -0.12000   0.00
1972.75    1.09000   0.00
1972.83    0.54000   0.00
1972.92    0.19000   0.00
1973.00    0.04000   0.00
1973.08    0.85000   0.00
1973.17    0.30000   0.00
1973.25   -0.54000   0.00
1973.33   -0.44000   0.00
1973.42    0.39000   0.00
1973.50    0.57000   0.00
1973.58   -0.06000   0.00
1973.67   -0.30000   0.00
1973.75   -1.24000   0.00
1973.83   -0.93000   0.00
1973.92    0.32000   0.00
1974.00    1.34000   0.00
1974.08   -0.14000   0.00
1974.17   -0.03000   0.00
1974.25    0.51000   0.00
1974.33   -0.24000   0.00
1974.42   -0.14000   0.00
1974.50   -0.76000   0.00
1974.58   -0.64000   0.00
1974.67    0.82000   0.00
1974.75    0.49000   0.00
1974.83   -0.54000   0.00
1974.92    1.50000   0.00
1975.00    0.58000   0.00
1975.08   -0.62000   0.00
1975.17   -0.61000   0.00
1975.25   -1.60000   0.00
1975.33   -0.52000   0.00
1975.42   -0.84000   0.00
1975.50    1.55000   0.00
1975.58   -0.26000   0.00
1975.67    1.56000   0.00
1975.75   -0.54000   0.00
1975.83    0.41000   0.00
1975.92    0.00000   0.00
1976.00   -0.25000   0.00
1976.08    0.93000   0.00
1976.17    0.75000   0.00
1976.25    0.26000   0.00
1976.33    0.96000   0.00
1976.42    0.80000   0.00
1976.50   -0.32000   0.00
1976.58    1.92000   0.00
1976.67   -1.29000   0.00
1976.75   -0.08000   0.00
1976.83    0.17000   0.00
1976.92   -1.60000   0.00
1977.00   -1.04000   0.00
1977.08   -0.49000   0.00
1977.17   -0.81000   0.00
1977.25    0.65000   0.00
1977.33   -0.86000   0.00
1977.42   -0.57000   0.00
1977.50   -0.45000   0.00
1977.58   -0.28000   0.00
1977.67    0.37000   0.00
1977.75    0.52000   0.00
1977.83   -0.07000   0.00
1977.92   -1.00000   0.00
1978.00    0.66000   0.00
1978.08   -2.20000   0.00
1978.17    0.70000   0.00
1978.25   -1.17000   0.00
1978.33    1.08000   0.00
1978.42    1.38000   0.00
1978.50   -1.14000   0.00
1978.58    0.64000   0.00
1978.67    0.46000   0.00
1978.75    1.93000   0.00
1978.83    3.04000   0.00
1978.92   -1.57000   0.00
1979.00   -1.38000   0.00
1979.08   -0.67000   0.00
1979.17    0.78000   0.00
1979.25   -1.71000   0.00
1979.33   -1.03000   0.00
1979.42    1.60000   0.00
1979.50    0.83000   0.00
1979.58    0.96000   0.00
1979.67    1.01000   0.00
1979.75   -0.30000   0.00
1979.83    0.53000   0.00
1979.92    1.00000   0.00
1980.00   -0.75000   0.00
1980.08    0.05000   0.00
1980.17   -0.31000   0.00
1980.25    1.29000   0.00
1980.33   -1.50000   0.00
1980.42   -0.37000   0.00
1980.50   -0.42000   0.00
1980.58   -2.24000   0.00
1980.67    0.66000   0.00
1980.75   -1.77000   0.00
1980.83   -0.37000   0.00
1980.92    0.78000   0.00
1981.00    0.37000   0.00
1981.08    0.92000   0.00
1981.17   -1.19000   0.00
1981.25    0.36000   0.00
1981.33    0.20000   0.00
1981.42   -0.45000   0.00
1981.50    0.05000   0.00
1981.58    0.39000   0.00
