dates 1 2 3 
1996.9193989071 990.2 -3.5 0
1996.9197404372 991 -4 0
1996.9200819672 992.8 -4.3 0
1996.9204234973 995.1 -4 0
1996.9207650273 996.1 -2.5 0
1996.9211065574 996.7 -1 0
1996.9214480874 999.3 -3.5 0
1996.9217896175 1001.6 -5.4 0
1996.9221311475 1004.9 -5.5 0
1996.9224726776 1006.2 -7.8 0
1996.9228142076 1007.9 -6.5 0
1996.9231557377 1008.5 -6.6 0
1996.9234972678 1009.5 -5.2 0
1996.9238387978 1009.4 -3.2 0
1996.9241803279 1010.4 -5.5 0
1996.9245218579 1011.1 -8.6 0
1996.924863388 1012.1 -9.5 0
1996.925204918 1011.6 -11 0
1996.9255464481 1011.7 -11.7 0
1996.9258879781 1011.1 -11 0
1996.9262295082 1010.5 -9.7 4.6
1996.9265710383 1008.6 -8.5 4.6
1996.9269125683 1009.3 -7.9 4.6
1996.9272540984 1011 -8.8 4.6
1996.9275956284 1012.7 -10.5 4.6
1996.9279371585 1013.1 -10.3 4.6
1996.9282786885 1012.2 -9.8 4.6
1996.9286202186 1009 -7.4 4.6
1996.9289617486 1006 0.5 3.9
1996.9293032787 999.1 1.3 3.9
1996.9296448087 994.3 -2 3.9
1996.9299863388 993.1 -3 3.9
1996.9303278689 991.6 -5.8 3.9
1996.9306693989 988.8 -5.2 3.9
1996.931010929 987 -3.9 3.9
1996.931352459 986.3 -5 3.9
1996.9316939891 984.6 0.5 0
1996.9320355191 984.1 1.3 0
1996.9323770492 991.3 -2 0
1996.9327185792 996.9 -3 0
1996.9330601093 1001.7 -5.8 0
1996.9334016393 1004.3 -5.2 0
1996.9337431694 1006 -5.6 0
1996.9340846995 1007.9 -9.8 0
1996.9344262295 1008.9 -4.2 0
1996.9347677596 1007.8 -3.6 0
1996.9351092896 1009 -8.8 0
1996.9354508197 1009.5 -10.3 0
1996.9357923497 1009.7 -11.5 0
1996.9361338798 1009.7 -11.9 0
1996.9364754098 1009.7 -12 0
1996.9368169399 1007.6 -10.4 0
1996.9371584699 1006.6 -8.1 0
1996.9375 1003.7 -6.4 0
1996.9378415301 1002.6 -8.4 0
1996.9381830601 1003.3 -9 0
1996.9385245902 1002.5 -7.8 0
1996.9388661202 1002 -6.2 0
1996.9392076503 1001.3 -6.8 0
1996.9395491803 1004.1 -7.4 0
1996.9398907104 1009.3 -4.4 0
1996.9402322404 1011.6 -3.1 0
1996.9405737705 1016.3 -6.8 0
1996.9409153005 1018.2 -7.1 0
1996.9412568306 1018.1 -6.6 0
1996.9415983607 1019.1 -9 0
1996.9419398907 1019.1 -10.8 0
1996.9422814208 1019.2 -10.2 0
1996.9426229508 1018.7 -7.9 5.8
1996.9429644809 1017.4 -3.9 5.8
1996.9433060109 1017.6 -8.2 5.8
1996.943647541 1016.5 -7.5 5.8
1996.943989071 1014.9 -6.6 5.8
1996.9443306011 1010.7 -6.4 5.8
1996.9446721311 1006.4 0.6 5.8
1996.9450136612 1000.7 0.6 5.8
1996.9453551913 994.8 0.5 5.3
1996.9456967213 991.4 0.8 5.3
1996.9460382514 992.2 -1.2 5.3
1996.9463797814 993.2 -2.2 5.3
1996.9467213115 994.7 -5 5.3
1996.9470628415 995.2 -4.2 5.3
1996.9474043716 996 -3.9 5.3
1996.9477459016 993.1 -5.3 5.3
1996.9480874317 994.7 -5 0
1996.9484289617 995.2 -4.2 0
1996.9487704918 996.8 -3.9 0
1996.9491120219 993.1 -5.3 0
1996.9494535519 993.9 -5.8 0
1996.949795082 992.8 -4 0
1996.950136612 992.4 -7.1 0
1996.9504781421 994.6 -6.3 0
1996.9508196721 1013.1 -6.1 0
1996.9511612022 1013.9 -5 0
1996.9515027322 1015.2 -7 0
1996.9518442623 1016.4 -9.1 0
1996.9521857924 1016.8 -8.7 0
1996.9525273224 1016.5 -9.6 0
1996.9528688525 1015.4 -7.5 0
1996.9532103825 1013.2 -8 0
1996.9535519126 1016.8 -8.7 13
1996.9538934426 1016.5 -9.6 13
1996.9542349727 1015.4 -7.5 13
1996.9545765027 1013.2 -8 13
1996.9549180328 1009.8 -8.9 13
1996.9552595628 1003.6 -2.2 13
1996.9556010929 999.7 -2.6 13
1996.955942623 996.2 -0.8 13
1996.956284153 1004.6 -0.8 0
1996.9566256831 1006.1 0.2 0
1996.9569672131 1009.4 -2.6 0
1996.9573087432 1011.7 -4.8 0
1996.9576502732 1015.1 -7 0
1996.9579918033 1015.1 -9.6 0
1996.9583333333 1016.6 -9.2 0
1996.9586748634 1017.7 -10.2 0
1996.9590163934 1017.8 -6.8 0
1996.9593579235 1017.7 -4.8 0
1996.9596994536 1017.2 -5.9 0
1996.9600409836 1016.1 -5.4 0
1996.9603825137 1014.5 -7.4 0
1996.9607240437 1015.8 -7.5 0
1996.9610655738 1018.3 -8.8 0
1996.9614071038 1019.5 -8.3 0
1996.9617486339 1020.4 -4.8 14
1996.9620901639 1019.7 -5.1 14
1996.962431694 1015.9 -7.4 14
1996.962773224 1011.3 -6.8 14
1996.9631147541 1005.5 -6.8 14
1996.9634562842 999.2 -6.4 14
1996.9637978142 994.8 1.7 14
1996.9641393443 996.2 -1.6 14
1996.9644808743 1000.5 0.6 0
1996.9648224044 1002.6 -0.6 0
1996.9651639344 1004.1 -3.4 0
1996.9655054645 1005.4 -6.2 0
1996.9658469945 1005.3 -6.1 0
1996.9661885246 1004.2 -6.7 0
1996.9665300546 1004 -6.4 0
1996.9668715847 1005.3 -11.5 0
1996.9672131148 1005.8 -6.2 0.6
1996.9675546448 1007.4 -5.3 0.6
1996.9678961749 1009.2 -7.2 0.6
1996.9682377049 1009.9 -9 0.6
1996.968579235 1011.9 -6.8 0.6
1996.968920765 1006.2 -6.9 0.6
1996.9692622951 997.7 -4.6 0.6
1996.9696038251 986.5 -5.2 0.6
1996.9699453552 978.4 -5 25.9
1996.9702868852 974.4 -5.2 25.9
1996.9706284153 976.3 -6.2 25.9
1996.9709699454 980.7 -6.6 25.9
1996.9713114754 987.2 -8 25.9
1996.9716530055 991.3 -9.2 25.9
1996.9719945355 995.6 -9.8 25.9
1996.9723360656 998 -10.2 25.9
1996.9726775956 1001.5 -9.6 0
1996.9730191257 1002.7 -8.9 0
1996.9733606557 1006.6 -14.5 0
1996.9737021858 1008.4 -16.6 0
1996.9740437158 1010.4 -14.2 0
1996.9743852459 1013.5 -14 0
1996.974726776 1016.7 -14.5 0
1996.975068306 1018.8 -16.8 0
1996.9754098361 1022 -11 25.3
1996.9757513661 1022.6 -9.8 25.3
1996.9760928962 1024 -10.9 25.3
1996.9764344262 1022 -2.2 25.3
1996.9767759563 1020.7 -1 25.3
1996.9771174863 1019.6 -0.2 25.3
1996.9774590164 1017.7 -0.1 25.3
1996.9778005464 1015.7 0 25.3
1996.9781420765 1014.5 -0.1 29.1
1996.9784836066 1016.9 0.1 29.1
1996.9788251366 1018.7 0 29.1
1996.9791666667 1020 0.2 29.1
1996.9795081967 1021.4 -0.5 29.1
1996.9798497268 1021.4 0.6 29.1
1996.9801912568 1021.4 -1 29.1
1996.9805327869 1021.5 -2 29.1
1996.9808743169 1020 0.4 0
1996.981215847 1018.8 -0.2 0
1996.981557377 1016.3 -1.8 0
1996.9818989071 1014.6 -3 0
1996.9822404372 1011.5 -2.8 0
1996.9825819672 1008.6 -3 0
1996.9829234973 1008.1 -3.1 0
1996.9832650273 1007.7 -3.3 0
1996.9836065574 1007.2 -3.2 0.4
1996.9839480874 1005.1 -2.2 0.4
1996.9842896175 1003.1 -2.7 0.4
1996.9846311475 999.9 -0.6 0.4
1996.9849726776 997.1 1.8 0.4
1996.9853142076 994.9 2.6 0.4
1996.9856557377 992.9 2.9 0.4
1996.9859972678 991.9 3 0.4
1996.9863387978 991.9 1.6 2.7
1996.9866803279 990.1 2.4 2.7
1996.9870218579 990.7 1.7 2.7
1996.987363388 991.5 2.2 2.7
1996.987704918 992.9 -0.4 2.7
1996.9880464481 993.4 -0.7 2.7
1996.9883879781 994.6 1 2.7
1996.9887295082 996.1 0.4 2.7
1996.9890710383 998.6 -0.4 1.2
1996.9894125683 999.6 1.1 1.2
1996.9897540984 1001.5 0.6 1.2
1996.9900956284 1003 0.8 1.2
1996.9904371585 1004.8 1 1.2
1996.9907786885 1004.9 -1 1.2
1996.9911202186 1006.6 -2.1 1.2
1996.9914617486 1007.7 -3 1.2
1996.9918032787 1004.8 1 1.2
1996.9921448087 1004.9 -1 1.2
1996.9924863388 1006.6 -2.1 1.2
1996.9928278689 1007 -3 1.2
1996.9931693989 1009 -1.4 1.2
1996.993510929 1009 -1 1.2
1996.993852459 1011.1 -5.2 1.2
1996.9941939891 1012.6 -5.4 1.2
1996.9945355191 1015.7 -3.1 0
1996.9948770492 1014.2 -2.2 0
1996.9952185792 1013.2 -4.7 0
1996.9955601093 1012.2 -4 0
1996.9959016393 1009.7 0.4 0
1996.9962431694 1005.8 0.6 0
1996.9965846995 1003.1 0.2 0
1996.9969262295 1000.8 2.2 0
1996.9972677596 1000.6 4.2 3.5
1996.9976092896 999.1 2 3.5
1996.9979508197 998.8 1.7 3.5
1996.9982923497 999.9 -0.5 3.5
1996.9986338798 1001.5 -0.4 3.5
1996.9989754098 999.4 -0.4 3.5
1996.9993169399 995.9 -0.9 3.5
1996.9996584699 994.1 1.4 3.5
1997 995.3 0.4 0.8
1997.00032424658 994.2 1.4 0.8
1997.0006849315 995.1 -0.2 0.8
1997.0010273973 994.2 1.3 0.8
1997.001369863 995.9 -1 0.8
1997.0017123288 995.9 -2.7 0.8
1997.0020547945 996.7 -3.6 0.8
1997.0023972603 1000.1 -6.8 0.8
1997.002739726 1002 -5.2 0
1997.0030821918 1002.8 -3.4 0
1997.0034246575 1005.4 -2.2 0
1997.0037671233 1007 -4.8 0
1997.004109589 1008.5 -5 0
1997.0044520548 1009.5 -4.6 0
1997.0047945205 1010.7 -4 0
1997.0051369863 1011.1 -5.5 0
1997.0054794521 1013 -4.2 0
1997.0058219178 1011.2 -2.8 0
1997.0061643836 1012.3 -5.1 0
1997.0065068493 1013.1 -4.1 0
1997.0068493151 1011.8 -5.1 0
1997.0071917808 1011.3 -4.6 0
1997.0075342466 1010.9 -4.2 0
1997.0078767123 1011.5 0.4 0
1997.0082191781 1012.5 0.9 0
1997.0085616438 1013.4 0.2 0
1997.0089041096 1015.5 -0.8 0
1997.0092465753 1014.7 -1.6 0
1997.0095890411 1015.5 -2.1 0
1997.0099315068 1017 -3.2 0
1997.0102739726 1016.3 -5.1 0
1997.0106164384 1018.1 -6.4 0
1997.0109589041 1018 -9.2 0
1997.0113013699 1017.7 -4 0
1997.0116438356 1017.9 -8.4 0
1997.0119863014 1018.4 -11.3 0
1997.0123287671 1018.5 -10.2 0
1997.0126712329 1018.5 -9.4 0
1997.0130136986 1018.1 -9.6 0
1997.0133561644 1018.5 -11.8 0
1997.0136986301 1018.4 -9.2 0
1997.0140410959 1016.6 -7.4 0
1997.0143835616 1016.3 -9.1 0
1997.0147260274 1016.3 -8.8 0
1997.0150684932 1016.4 -9.8 0
1997.0154109589 1016.5 -11.5 0
1997.0157534247 1015.4 -11.9 0
1997.0160958904 1015.1 -7 0
1997.0164383562 1015.6 -6.6 0.6
1997.0167808219 1014.7 -6.3 0.6
1997.0171232877 1015 -5.9 0.6
1997.0174657534 1015.4 -4.7 0.6
1997.0178082192 1016 -4.9 0.6
1997.0181506849 1015.7 -5 0.6
1997.0184931507 1015.6 -5.3 0.6
1997.0188356164 1015.7 -7.4 0.6
1997.0191780822 1016.2 -3.8 0
1997.0195205479 1015.7 -3.6 0
1997.0198630137 1014.5 -5.9 0
1997.0202054795 1016.2 -8.3 0
1997.0205479452 1015.1 -5.3 0
1997.020890411 1015.1 -5.5 0
1997.0212328767 1014.9 -5.9 0
1997.0215753425 1014.8 -7.6 0
1997.0219178082 1014.7 -7.2 0
1997.022260274 1013.5 -5.4 0
1997.0226027397 1013 -9.6 0
1997.0229452055 1012.3 -7.4 0
1997.0232876712 1011.7 -7.9 0
1997.023630137 1010.6 -8 0
1997.0239726027 1010.1 -8.1 0
1997.0243150685 1008.5 -8.2 0
1997.0246575342 1008.3 -8.4 0
1997.025 1006.9 -7.5 0
1997.0253424658 1005.7 -9 0
1997.0256849315 1005.8 -10.4 0
1997.0260273973 1005.5 -11 0
1997.026369863 1005.2 -12 0
1997.0267123288 1004.7 -14.3 0
1997.0270547945 1004.9 -11.8 0
1997.0273972603 1005.5 -10.2 0
1997.027739726 1005 -9.6 0
1997.0280821918 1006.1 -10.8 0
1997.0284246575 1007.1 -12.2 0
1997.0287671233 1007.9 -14.2 0
1997.029109589 1008.8 -15 0
1997.0294520548 1009.5 -15.5 0
1997.0297945205 1010.2 -16 0
1997.0301369863 1011.1 -11.8 0
1997.0304794521 1011 -10.4 0
1997.0308219178 1010.8 -10.7 0
1997.0311643836 1011.8 -11.4 0
1997.0315068493 1012.1 -12 0
1997.0318493151 1012.4 -13.4 0
1997.0321917808 1012.4 -14.4 0
1997.0325342466 1012 -16.4 0
1997.0328767123 1011.8 -12 0
1997.0332191781 1010.2 -6.7 0
1997.0335616438 1008.9 -7.4 0
1997.0339041096 1008.6 -7 0
1997.0342465753 1008.6 -9.1 0
1997.0345890411 1008.7 -10.2 0
1997.0349315068 1009.2 -10.4 0
1997.0352739726 1011.6 -10.2 0
1997.0356164384 1011.6 -7.6 0
1997.0359589041 1011.6 -5.4 0
1997.0363013699 1012.2 -8.1 0
1997.0366438356 1012.7 -9.2 0
1997.0369863014 1013.4 -11.8 0
1997.0373287671 1014.5 -11.7 0
1997.0376712329 1012.4 -11.6 0
1997.0380136986 1012.9 -14.7 0
1997.0383561644 1012.4 -13.5 17.6
1997.0386986301 1010 -10.5 17.6
1997.0390410959 1008.6 -11 17.6
1997.0393835616 1004.8 -4.5 17.6
1997.0397260274 1003.1 -2.6 17.6
1997.0400684932 999.5 -2.7 17.6
1997.0404109589 996.5 -2 17.6
1997.0407534247 994.1 -1.2 17.6
1997.0410958904 994.3 -6.3 16.3
1997.0414383562 994.8 -7.7 16.3
1997.0417808219 996 -9.4 16.3
1997.0421232877 996.8 -12.6 16.3
1997.0424657534 997.8 -13.5 16.3
1997.0428082192 998.8 -13.8 16.3
1997.0431506849 998.9 -14.2 16.3
1997.0434931507 1002 -17.8 16.3
1997.0438356164 997.8 -13.5 0
1997.0441780822 998.9 -13.8 0
1997.0445205479 998.9 -14.2 0
1997.0448630137 1000.2 -17.8 0
1997.0452054795 1000.2 -14.7 0
1997.0455479452 999.2 -12.6 0
1997.045890411 999.6 -15.2 0
1997.0462328767 999.9 -15.3 0
1997.0465753425 1000.3 -15.6 0
1997.0469178082 999.7 -15 0
1997.047260274 999.5 -16.2 0
1997.0476027397 999.5 -15.6 0
1997.0479452055 999.9 -12 0
1997.0482876712 998.8 -10.4 0
1997.048630137 997.9 -10.3 0
1997.0489726027 998.4 -9.6 0
1997.0493150685 986.9 -5.2 1
1997.0496575342 987.3 -5.1 1
1997.05 990.1 -5 1
1997.0503424658 990.2 -7.8 1
1997.0506849315 990.2 -4 1
1997.0510273973 988.7 -3.2 1
1997.051369863 987.2 -1.9 1
1997.0517123288 987.4 -1.8 1
1997.0520547945 988.6 -1.3 0
1997.0523972603 986.9 -0.2 0
1997.052739726 986 -0.8 0
1997.0530821918 984.7 -1.8 0
1997.0534246575 984.1 -2 0
1997.0537671233 984.1 -2.6 0
1997.054109589 985.3 -2.5 0
1997.0544520548 986.5 -3.2 0
1997.0547945205 987.5 -2.7 8.3
1997.0551369863 987.5 -0.7 8.3
1997.0554794521 989.2 1.9 8.3
1997.0558219178 991.5 -0.8 8.3
1997.0561643836 991.5 -1.5 8.3
1997.0565068493 991.8 -2 8.3
1997.0568493151 992.1 -1.6 8.3
1997.0571917808 991.9 -2.8 8.3
1997.0575342466 991.3 -3 2.5
1997.0578767123 989.1 -1.8 2.5
1997.0582191781 988.3 -2.4 2.5
1997.0585616438 986.7 -1.4 2.5
1997.0589041096 985.3 3.4 2.5
1997.0592465753 985.8 1.7 2.5
1997.0595890411 985 2.2 2.5
1997.0599315068 984.6 1.8 2.5
1997.0602739726 982 2.5 0
1997.0606164384 979.5 2.6 0
1997.0609589041 977.9 2.2 0
1997.0613013699 976.3 -0.6 0
1997.0616438356 972.1 0.6 0
1997.0619863014 968.3 1 0
1997.0623287671 957.9 0.3 0
1997.0626712329 957.6 1.1 0
1997.0630136986 962.7 1.7 5.4
1997.0633561644 962.7 1.9 5.4
1997.0636986301 962.7 2.4 5.4
1997.0640410959 963.3 0.6 5.4
1997.0643835616 964.2 0.1 5.4
1997.0647260274 964.8 0 5.4
1997.0650684932 968.5 0 5.4
1997.0654109589 972.3 -0.4 5.4
1997.0657534247 975.7 0.4 7.5
1997.0660958904 978 0.3 7.5
1997.0664383562 982.9 -0.2 7.5
1997.0667808219 986.5 -0.5 7.5
1997.0671232877 991.4 -1 7.5
1997.0674657534 994.4 -0.6 7.5
1997.0678082192 995.1 -1 7.5
1997.0681506849 995.1 -0.2 7.5
1997.0684931507 994 1.5 6.8
1997.0688356164 991.5 1.7 6.8
1997.0691780822 990.4 1.5 6.8
1997.0695205479 988.2 2.4 6.8
1997.0698630137 988.2 0.5 6.8
1997.0702054795 990.8 0.5 6.8
1997.0705479452 992 0.2 6.8
1997.070890411 991.9 4 6.8
1997.0712328767 991.9 2.7 36.2
1997.0715753425 991.3 2.6 36.2
1997.0719178082 991.6 3.1 36.2
1997.072260274 993.2 2.5 36.2
1997.0726027397 994.7 3.1 36.2
1997.0729452055 996.8 2.6 36.2
1997.0732876712 998.9 2.8 36.2
1997.073630137 1001.8 2.4 36.2
1997.0739726027 1005.8 2.4 4.2
1997.0743150685 1006.1 3.3 4.2
1997.0746575342 1007.6 2.8 4.2
1997.075 1010.6 2.4 4.2
1997.0753424658 1011.1 2.3 4.2
1997.0756849315 1011.7 1.8 4.2
1997.0760273973 1012.8 1 4.2
1997.076369863 1013.7 0.4 4.2
1997.0767123288 1014.9 0.6 0
1997.0770547945 1014.2 2.1 0
1997.0773972603 1014 -0.8 0
1997.077739726 1014.3 -1.3 0
1997.0780821918 1014.3 -1.3 0
1997.0784246575 1014.4 -2.6 0
1997.0787671233 1014.4 -2.9 0
1997.079109589 1015.9 -3.3 0
1997.0794520548 1014.5 -3.2 0
1997.0797945205 1014.1 -2.4 0
1997.0801369863 1013.3 -2.9 0
1997.0804794521 1013.4 -4.2 0
1997.0808219178 1013.4 -5.1 0
1997.0811643836 1013.1 -5.7 0
1997.0815068493 1012.5 -7 0
1997.0818493151 1011.4 -8.7 0
1997.0821917808 1010 -5.4 0
1997.0825342466 1009.1 -3.1 0
1997.0828767123 1010.3 -4.1 0
1997.0832191781 1010.4 -5.3 0
1997.0835616438 1010.7 -7.4 0
1997.0839041096 1009.2 -9 0
1997.0842465753 1009.3 -9.5 0
1997.0845890411 1009.5 -14 0
1997.0849315068 1009.7 -9.5 0
