dates    soi    ???
1969.50   -0.80000   0.00
1969.58   -0.20000   0.00
1969.67   -1.60000   0.00
1969.75   -1.50000   0.00
1969.83   -0.10000   0.00
1969.92    0.70000   0.00
1970.00   -1.90000   0.00
1970.08   -1.70000   0.00
1970.17    1.00000   0.00
1970.25   -0.10000   0.00
1970.33    0.60000   0.00
1970.42    1.60000   0.00
1970.50   -0.60000   0.00
1970.58    1.00000   0.00
1970.67    1.90000   0.00
1970.75    1.70000   0.00
1970.83    2.60000   0.00
1970.92    3.20000   0.00
1971.00    0.60000   0.00
1971.08    3.30000   0.00
1971.17    3.80000   0.00
1971.25    2.80000   0.00
1971.33    1.40000   0.00
1971.42    0.70000   0.00
1971.50    0.40000   0.00
1971.58    2.50000   0.00
1971.67    2.30000   0.00
1971.75    2.80000   0.00
1971.83    0.90000   0.00
1971.92    0.40000   0.00
1972.00    0.80000   0.00
1972.08    1.80000   0.00
1972.17    1.10000   0.00
1972.25   -0.20000   0.00
1972.33   -2.60000   0.00
1972.42   -0.90000   0.00
1972.50   -2.40000   0.00
1972.58   -0.80000   0.00
1972.67   -2.20000   0.00
1972.75   -1.50000   0.00
1972.83   -0.60000   0.00
1972.92   -2.10000   0.00
1973.00   -0.50000   0.00
1973.08   -2.30000   0.00
1973.17    1.20000   0.00
1973.25    0.10000   0.00
1973.33    0.70000   0.00
1973.42    1.80000   0.00
1973.50    1.00000   0.00
1973.58    2.10000   0.00
1973.67    2.00000   0.00
1973.75    1.30000   0.00
1973.83    4.30000   0.00
1973.92    3.00000   0.00
1974.00    4.00000   0.00
1974.08    3.40000   0.00
1974.17    4.00000   0.00
1974.25    1.60000   0.00
1974.33    1.60000   0.00
1974.42    0.70000   0.00
1974.50    1.90000   0.00
1974.58    1.30000   0.00
1974.67    1.80000   0.00
1974.75    1.50000   0.00
1974.83   -0.20000   0.00
1974.92    0.30000   0.00
1975.00   -0.80000   0.00
1975.08    1.30000   0.00
1975.17    2.60000   0.00
1975.25    1.90000   0.00
1975.33    1.10000   0.00
1975.42    2.10000   0.00
1975.50    3.10000   0.00
1975.58    3.30000   0.00
1975.67    3.40000   0.00
1975.75    2.80000   0.00
1975.83    1.90000   0.00
1975.92    3.50000   0.00
1976.00    2.30000   0.00
1976.08    2.80000   0.00
1976.17    2.90000   0.00
1976.25    0.50000   0.00
1976.33    0.60000   0.00
1976.42    0.40000   0.00
1976.50   -1.40000   0.00
1976.58   -1.30000   0.00
1976.67   -1.90000   0.00
1976.75    0.70000   0.00
1976.83    1.20000   0.00
1976.92   -0.60000   0.00
1977.00   -0.70000   0.00
1977.08    2.00000   0.00
1977.17   -0.90000   0.00
1977.25   -0.70000   0.00
1977.33   -0.80000   0.00
1977.42   -1.50000   0.00
1977.50   -1.90000   0.00
1977.58   -1.30000   0.00
1977.67   -1.30000   0.00
1977.75   -1.70000   0.00
1977.83   -2.10000   0.00
1977.92   -1.70000   0.00
1978.00   -0.50000   0.00
1978.08   -4.40000   0.00
1978.17   -0.30000   0.00
1978.25   -0.50000   0.00
1978.33    2.20000   0.00
1978.42    1.10000   0.00
1978.50    0.90000   0.00
1978.58    0.70000   0.00
1978.67    0.10000   0.00
1978.75   -0.60000   0.00
1978.83   -0.00000   0.00
1978.92   -0.10000   0.00
1979.00   -0.70000   0.00
1979.08    1.60000   0.00
1979.17    0.20000   0.00
1979.25   -0.20000   0.00
1979.33    0.80000   0.00
1979.42    1.10000   0.00
1979.50    2.20000   0.00
1979.58   -0.30000   0.00
1979.67    0.20000   0.00
1979.75   -0.20000   0.00
1979.83   -0.70000   0.00
1979.92   -1.20000   0.00
1980.00    0.70000   0.00
1980.08    0.50000   0.00
1980.17   -0.70000   0.00
1980.25   -1.00000   0.00
1980.33   -0.00000   0.00
1980.42   -0.00000   0.00
1980.50   -0.10000   0.00
1980.58    0.60000   0.00
1980.67   -0.80000   0.00
1980.75    0.00000   0.00
1980.83   -0.60000   0.00
1980.92   -0.10000   0.00
1981.00    0.60000   0.00
1981.08   -0.30000   0.00
1981.17   -2.10000   0.00
1981.25   -0.20000   0.00
1981.33    1.30000   0.00
1981.42    2.00000   0.00
1981.50    1.40000   0.00
1981.58    1.20000   0.00
1981.67    0.50000   0.00
1981.75   -0.60000   0.00
1981.83    0.30000   0.00
1981.92    0.80000   0.00
1982.00    2.00000   0.00
1982.08    0.40000   0.00
1982.17    1.00000   0.00
1982.25    0.10000   0.00
1982.33   -0.60000   0.00
1982.42   -1.70000   0.00
1982.50   -2.50000   0.00
1982.58   -2.90000   0.00
1982.67   -2.90000   0.00
1982.75   -2.80000   0.00
1982.83   -4.30000   0.00
1982.92   -3.70000   0.00
1983.00   -5.80000   0.00
1983.08   -6.00000   0.00
1983.17   -4.00000   0.00
1983.25   -1.50000   0.00
1983.33    1.00000   0.00
1983.42    0.10000   0.00
1983.50   -1.00000   0.00
1983.58    0.20000   0.00
