dates values
2000.22116 0
2000.22389 0
2000.22662 0
2000.22935 0
2000.23208 0
2000.23481 0
2000.23754 0
2000.24027 0
2000.243 0
2000.24573 0
2000.24846 0
2000.25119 0
2000.25392 0
2000.25666 0
2000.25939 0
2000.26212 0
2000.26485 0
2000.26758 0
2000.27031 0
2000.27304 0
2000.27577 0
2000.2785 0
2000.28123 0
2000.28396 0
2000.28669 0
2000.28942 0
2000.29215 0
2000.29488 0
2000.29761 0
2000.30034 0
2000.30307 0
2000.3058 0
2000.30853 0
2000.31126 0
2000.31399 0
2000.31672 0
2000.31945 0
2000.32218 0
2000.32491 0
2000.32765 0
2000.33038 0
2000.33311 0
2000.33584 0
2000.33857 0
2000.3413 0
2000.34403 0
2000.34676 0
2000.34949 0
2000.35222 1
2000.35495 0
2000.35768 0
2000.36041 0
2000.36314 0
2000.36587 0
2000.3686 0
2000.37133 0
2000.37406 0
2000.37679 0
2000.37952 0
2000.38225 0
2000.38498 0
2000.38771 0
2000.39044 0
2000.39317 0
2000.3959 0
2000.39863 0
2000.40137 0
2000.4041 0
2000.40683 0
2000.40956 0
2000.41229 0
2000.41502 0
2000.41775 0
2000.42048 0
2000.42321 0
2000.42594 0
2000.42867 0
2000.4314 0
2000.43413 0
2000.43686 0
2000.43959 0
2000.44232 0
2000.44505 0
2000.44778 0
2000.45051 0
2000.45324 0
2000.45597 0
2000.4587 0
2000.46143 0
2000.46416 0
2000.46689 0
2000.46962 0
2000.47235 0
2000.47509 0
2000.47782 0
2000.48055 0
2000.48328 0
2000.48601 0
2000.48874 0
2000.49147 0
2000.4942 0
2000.49693 0
2000.49966 0
2000.50239 0
2000.50512 0
2000.50785 0
2000.51058 0
2000.51331 0
2000.51604 0
2000.51877 0
2000.5215 0
2000.52423 0
2000.52696 0
2000.52969 0
2000.53242 0
2000.53515 0
2000.53788 0
2000.54061 0
2000.54334 0
2000.54608 0
2000.54881 0
2000.55154 0
2000.55427 0
2000.557 0
2000.55973 0
2000.56246 0
2000.56519 0
2000.56792 0
2000.57065 0
2000.57338 0
2000.57611 0
2000.57884 0
2000.58157 0
2000.5843 0
2000.58703 0
2000.58976 0
2000.59249 0
2000.59522 0
2000.59795 0
2000.60068 0
2000.60341 0
2000.60614 0
2000.60887 0
2000.6116 0
2000.61433 0
2000.61706 0
2000.6198 0
2000.62253 0
2000.62526 0
2000.62799 0
2000.63072 0
2000.63345 0
2000.63618 0
2000.63891 0
2000.64164 0
2000.64437 0
2000.6471 0
2000.64983 0
2000.65256 0
2000.65529 0
2000.65802 0
2000.66075 0
2000.66348 0
2000.66621 0
2000.66894 0
2000.67167 0
2000.6744 0
2000.67713 0
2000.67986 0
2000.68259 0
2000.68532 0
2000.68805 0
2000.69078 0
2000.69352 0
2000.69625 0
2000.69898 0
2000.70171 0
2000.70444 0
2000.70717 0
2000.7099 0
2000.71263 0
2000.71536 0
2000.71809 0
2000.72082 0
2000.72355 0
2000.72628 0
2000.72901 0
2000.73174 0
2000.73447 0
2000.7372 1
2000.73993 0
2000.74266 0
2000.74539 0
2000.74812 0
2000.75085 0
2000.75358 0
2000.75631 0
2000.75904 0
2000.76177 0
2000.76451 0
2000.76724 0
2000.76997 0
2000.7727 0
2000.77543 0
2000.77816 0
2000.78089 0
2000.78362 0
2000.78635 0
2000.78908 0
2000.79181 0
2000.79454 0
2000.79727 0
2000.8 0
2000.80273 0
2000.80546 0
2000.80819 0
2000.81092 0
2000.81365 0
2000.81638 0
2000.81911 0
2000.82184 0
2000.82457 0
2000.8273 0
2000.83003 0
2000.83276 0
2000.83549 0
2000.83823 0
2000.84096 0
2000.84369 0
2000.84642 0
2000.84915 0
2000.85188 0
2000.85461 0
2000.85734 0
2000.86007 0
2000.8628 0
2000.86553 0
2000.86826 0
2000.87099 0
2000.87372 0
2000.87645 0
2000.87918 0
2000.88191 0
2000.88464 0
2000.88737 0
2000.8901 0
2000.89283 0
2000.89556 0
2000.89829 0
2000.90102 0
2000.90375 0
2000.90648 0
2000.90922 0
2000.91195 0
2000.91468 0
2000.91741 0
2000.92014 0
2000.92287 0
2000.9256 0
2000.92833 0
2000.93106 0
2000.93379 0
2000.93652 0
2000.93925 0
2000.94198 0
2000.94471 0
2000.94744 0
2000.95017 0
2000.9529 0
2000.95563 0
2000.95836 0
2000.96109 0
2000.96382 0
2000.96655 0
2000.96928 0
2000.97201 0
2000.97474 0
2000.97747 0
2000.9802 0
2000.98294 0
2000.98567 0
2000.9884 0
2000.99113 0
2000.99386 0
2000.99659 0
2001.0 0
2001.00274 0
2001.00548 0
2001.00821 0
2001.01095 0
2001.01369 0
2001.01643 0
2001.01916 0
2001.0219 0
2001.02464 0
2001.02738 0
2001.03012 0
2001.03285 0
2001.03559 0
2001.03833 0
2001.04107 0
2001.04381 0
2001.04654 0
2001.04928 0
2001.05202 0
2001.05476 0
2001.05749 0
2001.06023 0
2001.06297 0
2001.06571 0
2001.06845 0
2001.07118 0
2001.07392 0
2001.07666 0
2001.0794 0
2001.08214 0
2001.08487 0
2001.08761 0
2001.09035 0
2001.09309 0
2001.09582 0
2001.09856 0
2001.1013 0
2001.10404 0
2001.10678 0
2001.10951 0
2001.11225 0
2001.11499 0
2001.11773 0
2001.12047 0
2001.1232 0
2001.12594 0
2001.12868 0
2001.13142 0
2001.13415 0
2001.13689 0
2001.13963 0
2001.14237 0
2001.14511 0
2001.14784 0
2001.15058 0
2001.15332 0
2001.15606 0
2001.1588 0
2001.16153 0
2001.16427 0
2001.16701 0
2001.16975 0
2001.17248 0
2001.17522 0
2001.17796 0
2001.1807 0
2001.18344 0
2001.18617 0
2001.18891 0
2001.19165 0
2001.19439 0
2001.19713 0
2001.19986 0
2001.2026 0
2001.20534 0
2001.20808 0
2001.21081 0
2001.21355 0
2001.21629 0
2001.21903 0
2001.22177 0
2001.2245 0
2001.22724 0
2001.22998 0
2001.23272 1
2001.23546 0
2001.23819 0
2001.24093 0
2001.24367 0
2001.24641 0
2001.24914 0
2001.25188 0
2001.25462 0
2001.25736 0
2001.2601 0
2001.26283 0
2001.26557 0
2001.26831 0
2001.27105 0
2001.27379 0
2001.27652 0
2001.27926 0
2001.282 0
2001.28474 0
2001.28747 0
2001.29021 0
2001.29295 0
2001.29569 0
2001.29843 0
2001.30116 0
2001.3039 0
2001.30664 0
2001.30938 0
2001.31211 0
2001.31485 0
2001.31759 0
2001.32033 0
2001.32307 0
2001.3258 0
2001.32854 0
2001.33128 0
2001.33402 1
2001.33676 0
2001.33949 0
2001.34223 0
2001.34497 0
2001.34771 0
2001.35044 0
2001.35318 0
2001.35592 0
2001.35866 0
2001.3614 0
2001.36413 0
2001.36687 0
2001.36961 0
2001.37235 1
2001.37509 0
2001.37782 0
2001.38056 0
2001.3833 0
2001.38604 0
2001.38877 0
2001.39151 0
2001.39425 0
2001.39699 0
2001.39973 0
2001.40246 0
2001.4052 0
2001.40794 0
2001.41068 0
2001.41342 0
2001.41615 0
2001.41889 0
2001.42163 0
2001.42437 0
2001.4271 0
2001.42984 0
2001.43258 0
2001.43532 0
2001.43806 0
2001.44079 0
2001.44353 0
2001.44627 0
2001.44901 0
2001.45175 0
2001.45448 0
2001.45722 0
2001.45996 0
2001.4627 0
2001.46543 0
2001.46817 0
2001.47091 0
2001.47365 0
2001.47639 0
2001.47912 0
2001.48186 0
2001.4846 0
2001.48734 0
2001.49008 0
2001.49281 0
2001.49555 0
2001.49829 0
2001.50103 0
2001.50376 0
2001.5065 0
2001.50924 0
2001.51198 0
2001.51472 0
2001.51745 0
2001.52019 0
2001.52293 0
2001.52567 0
2001.52841 0
2001.53114 0
2001.53388 0
2001.53662 0
2001.53936 0
2001.54209 0
2001.54483 0
2001.54757 0
2001.55031 0
2001.55305 0
2001.55578 0
2001.55852 0
2001.56126 0
2001.564 0
2001.56674 0
2001.56947 0
2001.57221 0
2001.57495 0
2001.57769 0
2001.58042 0
2001.58316 0
2001.5859 0
2001.58864 0
2001.59138 0
2001.59411 0
2001.59685 0
2001.59959 0
2001.60233 0
2001.60507 0
2001.6078 0
2001.61054 0
2001.61328 0
2001.61602 0
2001.61875 0
2001.62149 0
2001.62423 0
